ch_sim,slug
保障·锡斯特双枪,secura_dual_cestra
匍匐靶心,creeping_bullseye
异融 alad v 刺杀 （钥匙）,mutalist_alad_v_assassinate_key
辐射缴械,irradiating_disarm
反物质吸收,antimatter_absorb
赋能·壁垒,arcane_barrier
赋能·冰冷,arcane_ice
终极·螺钉步枪,telos_boltor
frost prime 一套,frost_prime_set
触媒连动,catalyzer_link
定位辅助,targeting_subsystem
斯特朗·亡魂 枪机,strun_wraith_receiver
构造裂缝,tectonic_fracture
mantis 一套,mantis_set
酸性弹药,acid_shells
夜巡燃烧弹,nightwatch_napalm
类星钻体,quasar_drill
彗星爆发,comet_blast
星云钻孔,nebula_bore
死亡使徒 刀刃,kaszas_blade
极速电磁步枪 枪机,velocitus_receiver
巨浪 枪管,fluctus_barrel
巨浪 弓臂,fluctus_limbs
巨浪 枪托,fluctus_stock
什长双枪 枪管,decurion_barrel
hydroid prime 一套,hydroid_prime_set
净化奥罗金,cleanse_corrupted
kappa 信标,kappa_beacon
星形绯红石,star_crimzian
正直·打击,virtuos_strike
猎人 肾上腺素,hunter_adrenaline
蝰蛇·亡魂,viper_wraith
奥罗金荒废广场场景,orokin_derelict_plaza_scene
grineer 造船厂场景,grineer_shipyards_manufactory_scene
感染舰桥场景,infested_ship_bridge_scene
月球苗圃场景,lua_nursery_scene
corpus 集气城市管道场景,corpus_gas_city_conduit_scene
grineer 驻扎地反应炉场景,grineer_settlement_reactor_scene
corpus 冰封星球残骸场景,corpus_ice_planet_wreckage_scene
夜灵 madurai 晶体,eidolon_madurai_lens
夜灵 vazarin 晶体,eidolon_vazarin_lens
夜灵 unairu 晶体,eidolon_unairu_lens
zephyr prime 机体 蓝图,zephyr_prime_chassis_blueprint
mycona 殖民地场景,mycona_colony_scene
和平·高飞,pax_soar
救赎者 prime 刀刃,redeemer_prime_blade
觉醒双枪 prime 枪机,akjagara_prime_receiver
组合枪裂罅 mod （尚未揭开）,kitgun_riven_mod_(veiled)
光谱虹吸,spectrosiphon
恶狼战锤锤头,wolf_sledge_head
恶狼战锤 一套,wolf_sledge_set
奥布山谷场景,orb_vallis_scene
诸葛连弩 prime 弓身,zhuge_prime_grip
寒冰之力,freeze_force
旋风虎击,swirling_tiger
随机应变,quick_thinking
蛟龙 prime 蓝图,wyrm_prime_blueprint
簧压刀刃,spring_loaded_blade
动力转移,kinetic_diversion
奋力一掷,power_throw
宿命真理,fateful_truth
致命火力,malignant_force
卓越防御,superior_defenses
能量转化,energy_inversion
破碎正义,shattering_justice
爆发装填,fast_hands
极地弹仓,polar_magazine
步枪增幅,rifle_amp
残余,spare_parts
有去无回,no_return
汽化,vaporize
恶性扩散,vicious_spread
敌人感应,enemy_sense
盲怒,blind_rage
步枪弹药转换,rifle_ammo_mutation
凯旋将军·破坏者 枪管,imperator_vandal_barrel
欧特鲁斯 prime 刀刃,orthos_prime_blade
loki prime 系统 蓝图,loki_prime_systems_blueprint
naramon 晶体,naramon_lens
协力窜升,coaction_drift
通晓霰弹枪,shotgun_savvy
爆裂刀刃,volcanic_edge
陨蜓 prime 外甲 蓝图,odonata_prime_harness_blueprint
回气再起,secondary_wind
陨蜓 prime 系统 蓝图,odonata_prime_systems_blueprint
致命一击,point_strike
上升打击,soaring_strike
强力猛击,pummel
极速电磁步枪 枪托,velocitus_stock
拉斯波恩 握柄,rathbone_handle
拉斯波恩 锤头,rathbone_head
拉特昂·亡魂 枪管,latron_wraith_barrel
火焰装填,heated_charge
系统重划,system_reroute
蛇发女妖·亡魂 枪机,gorgon_wraith_receiver
精算射击,calculated_shot
活力,vigor
飞扬 prime 镖袋,hikou_prime_pouch
收割者 prime 蓝图,reaper_prime_blueprint
震击 秘奥头盔,arcane_thrak_helmet
抵近射击 prime,primed_point_blank
三幂之力,power_of_three
rhino prime 头部神经光元 蓝图,rhino_prime_neuroptics_blueprint
缴械纯净,disarming_purity
蛇发女妖·亡魂 枪托,gorgon_wraith_stock
布里斯提卡 prime 弓弦,ballistica_prime_string
双蛇牙突,crossing_snakes
返老还童,rejuvenation
挖掘,dig
