ch_tra,slug
保障 錫斯特雙槍,secura_dual_cestra
匍匐靶心,creeping_bullseye
異融者 alad v 刺殺 （鑰匙）,mutalist_alad_v_assassinate_key
輻射繳械,irradiating_disarm
反物質吸收,antimatter_absorb
壁壘賦能,arcane_barrier
冰冷賦能,arcane_ice
終極 螺釘步槍,telos_boltor
frost prime 一套,frost_prime_set
觸媒連動,catalyzer_link
定位輔助,targeting_subsystem
斯特朗 亡魂 槍機,strun_wraith_receiver
構造裂縫,tectonic_fracture
mantis 一套,mantis_set
酸性彈藥,acid_shells
夜巡燃燒彈,nightwatch_napalm
類星鑽體,quasar_drill
彗星爆發,comet_blast
星雲鑽孔,nebula_bore
死亡使徒 刀刃,kaszas_blade
極速電磁步槍 槍機,velocitus_receiver
巨浪 槍管,fluctus_barrel
巨浪 弓臂,fluctus_limbs
巨浪 槍托,fluctus_stock
什長雙槍 槍管,decurion_barrel
hydroid prime 一套,hydroid_prime_set
淨化 orokin,cleanse_corrupted
kappa 信標,kappa_beacon
星形緋紅石,star_crimzian
正直打擊,virtuos_strike
獵者 腎上腺素,hunter_adrenaline
蝰蛇 亡魂,viper_wraith
orokin 遺跡廣場場景,orokin_derelict_plaza_scene
grineer 造船廠場景,grineer_shipyards_manufactory_scene
infested 船舶場景,infested_ship_bridge_scene
月球苗圃場景,lua_nursery_scene
corpus 集氣城管道場景,corpus_gas_city_conduit_scene
grineer 駐紮地反應爐場景,grineer_settlement_reactor_scene
corpus 冰封星球殘骸場景,corpus_ice_planet_wreckage_scene
夜靈 mardurai 晶體,eidolon_madurai_lens
夜靈 vazarin 晶體,eidolon_vazarin_lens
夜靈 unairu 晶體,eidolon_unairu_lens
zephyr prime 機體 藍圖,zephyr_prime_chassis_blueprint
mycona 殖民地場景,mycona_colony_scene
和平衝天,pax_soar
救贖者 prime 刀刃,redeemer_prime_blade
覺醒雙槍 prime 槍機,akjagara_prime_receiver
組合槍裂罅 mod （尚未揭開）,kitgun_riven_mod_(veiled)
光譜虹吸,spectrosiphon
惡狼戰鎚鎚頭,wolf_sledge_head
惡狼戰鎚 一套,wolf_sledge_set
奧布山谷場景,orb_vallis_scene
諸葛連弩 prime 弓身,zhuge_prime_grip
寒冰之力,freeze_force
旋風虎擊,swirling_tiger
隨機應變,quick_thinking
蛟龍 prime 藍圖,wyrm_prime_blueprint
簧壓刀刃,spring_loaded_blade
動力轉移,kinetic_diversion
奮力一擲,power_throw
宿命真理,fateful_truth
致命火力,malignant_force
卓越防禦,superior_defenses
能量轉化,energy_inversion
破碎正義,shattering_justice
爆發裝填,fast_hands
極地彈倉,polar_magazine
步槍增幅,rifle_amp
打撈掃描器,spare_parts
有去無回,no_return
汽化,vaporize
惡性擴散,vicious_spread
敵人感應,enemy_sense
盲怒,blind_rage
步槍彈藥轉換,rifle_ammo_mutation
凱旋將軍 破壞者 槍管,imperator_vandal_barrel
歐特魯斯 prime 刀刃,orthos_prime_blade
loki prime 系統 藍圖,loki_prime_systems_blueprint
naramon 晶體,naramon_lens
協力竄升,coaction_drift
通曉霰彈槍,shotgun_savvy
爆裂刀刃,volcanic_edge
odonata prime 外甲 藍圖,odonata_prime_harness_blueprint
回氣再起,secondary_wind
odonata prime 系統 藍圖,odonata_prime_systems_blueprint
致命一擊,point_strike
上升打擊,soaring_strike
強力猛擊,pummel
極速電磁步槍 槍托,velocitus_stock
拉斯波恩 握柄,rathbone_handle
拉斯波恩 鎚頭,rathbone_head
拉特昂 亡魂 槍管,latron_wraith_barrel
火焰裝填,heated_charge
系統重劃,system_reroute
蛇髮女妖 亡魂 槍機,gorgon_wraith_receiver
精算射擊,calculated_shot
活力,vigor
飛揚 prime 鏢袋,hikou_prime_pouch
收割者 prime 藍圖,reaper_prime_blueprint
震擊秘奧頭盔,arcane_thrak_helmet
抵近射擊 prime,primed_point_blank
三冪之力,power_of_three
rhino prime 頭部神經光元 藍圖,rhino_prime_neuroptics_blueprint
繳械純淨,disarming_purity
蛇髮女妖 亡魂 槍托,gorgon_wraith_stock
布里斯提卡 prime 弓弦,ballistica_prime_string
雙蛇牙突,crossing_snakes
返老還童,rejuvenation
挖掘,dig
粉碎器,shredder
無盡苦難,continuous_misery
瓦斯托 prime 一套,vasto_prime_set
阿瓦隆秘奧頭盔,arcane_avalon_helmet
鋁熱焊彈,thermite_rounds
通量秘奧頭盔,arcane_flux_helmet
終極 螺釘雙槍,telos_akbolto
預言秘奧頭盔,arcane_aura_helmet
聖潔 雷爆信鏢,sancti_castanas
裂縫打擊,rift_strike
火神閃擊,vulcan_blitz
策略秘奧頭盔,arcane_gambit_helmet
氯毒秘奧頭盔,arcane_chlora_helmet
機敏秘奧頭盔,arcane_esprit_helmet
詭計賦能,arcane_trickery
oberon prime 頭部神經光元 藍圖,oberon_prime_neuroptics_blueprint
volt prime 頭部神經光元 藍圖,volt_prime_neuroptics_blueprint
鳳凰秘奧頭盔,arcane_phoenix_helmet
布里斯提卡 prime 下弓臂,ballistica_prime_lower_limb
volt prime 機體 藍圖,volt_prime_chassis_blueprint
欖尖形翠螢石,marquise_veridos
返響秘奧頭盔,arcane_reverb_helmet
爆炸戲法,explosive_legerdemain
毀滅 orokin,smite_corrupted
鐵杉秘奧頭盔,arcane_hemlock_helmet
汲能榨取,vampire_leech
諸葛連弩 prime 藍圖,zhuge_prime_blueprint
降靈追獵者 prime 鏈條,ninkondi_prime_chain
諸葛連弩 prime 槍機,zhuge_prime_receiver
諸葛連弩 prime 一套,zhuge_prime_set
wukong prime 頭部神經光元 藍圖,wukong_prime_neuroptics_blueprint
毀滅擴展,ruinous_extension
野蠻壓制,savagery
手槍精通,pistol_gambit
毀壞微光,gleaming_blight
ember prime 頭部神經光元 藍圖,ember_prime_neuroptics_blueprint
恆久折磨,lingering_torment
重錘射擊,hammer_shot
霰彈槍彈藥轉換 prime,primed_shotgun_ammo_mutation
迅速賦能,arcane_velocity
nyx prime 藍圖,nyx_prime_blueprint
德拉 破壞者 槍托,dera_vandal_stock
卡拉克 亡魂 藍圖,karak_wraith_blueprint
nyx prime 系統 藍圖,nyx_prime_systems_blueprint
擺盪鉤索,swing_line
雙短柄戰鐮 prime 一套,dual_kamas_prime_set
爆破計算,measured_burst
護衛傳送,safeguard_switch
棱晶 陰影,prisma_shade
集氣城大廳場景,gas_city_lobby_scene
過度延展,overextended
保護,protect
全蝕,total_eclipse
脈衝秘奧頭盔,arcane_pulse_helmet
私法 追求,vigilante_pursuit
淨化斬,purging_slash
mag 高斯秘奥頭盔,arcane_mag_gauss_helmet
遠古融合核心,ancient_fusion_core
弗拉克斯 亡魂 右拳套,furax_wraith_right_gauntlet
螺鑽打擊,auger_strike
nyx prime 頭部神經光元 藍圖,nyx_prime_neuroptics_blueprint
rhino prime 藍圖,rhino_prime_blueprint
穩定槍手,steady_hands
猛虎 prime 槍機,tigris_prime_receiver
能量轉換,energy_conversion
抗毒賦能,arcane_resistance
致命洪流,lethal_torrent
戰爭之劍 刀刃,war_blade
弱點偵測,detect_vulnerability
元素沙暴,elemental_sandstorm
鋼鐵纖維,steel_fiber
擴充彈匣,magazine_extension
內置炸藥,concealed_explosives
破滅 prime,primed_ravage
耗竭裝填,depleted_reload
赫利俄斯 prime 外殼,helios_prime_carapace
蛟龍 prime 系統,wyrm_prime_systems
trinity prime 頭部神經光元 藍圖,trinity_prime_neuroptics_blueprint
