es,slug
cestras dobles secura,secura_dual_cestra
diana artera,creeping_bullseye
asesinato de alad v mutalítico (llave),mutalist_alad_v_assassinate_key
desarme irradiante,irradiating_disarm
absorción de antimateria,antimatter_absorb
barrera arcana,arcane_barrier
hielo arcano,arcane_ice
boltor telos,telos_boltor
set de frost prime,frost_prime_set
enlace catalizador,catalyzer_link
subsistema de puntería,targeting_subsystem
receptor de strun fantasma,strun_wraith_receiver
fractura tectónica,tectonic_fracture
set de mantis,mantis_set
cartuchos ácidos,acid_shells
napalm de avizores nocturnos,nightwatch_napalm
taladro quásar,quasar_drill
explosión de cometa,comet_blast
perforación nebular,nebula_bore
hoja de kaszas,kaszas_blade
receptor de velocitus,velocitus_receiver
cañón de fluctus,fluctus_barrel
palas de fluctus,fluctus_limbs
culata de fluctus,fluctus_stock
cañón de decurión,decurion_barrel
set de hydroid prime,hydroid_prime_set
limpieza de orokin,cleanse_corrupted
baliza kappa,kappa_beacon
crimzian estrella,star_crimzian
ataque virtuoso,virtuos_strike
adrenalina del cazador,hunter_adrenaline
viper fantasma,viper_wraith
escena de plaza de derrelicto orokin,orokin_derelict_plaza_scene
escena de fábrica de astilleros grineer,grineer_shipyards_manufactory_scene
escena de puente de nave infestada,infested_ship_bridge_scene
escena de guardería de lua,lua_nursery_scene
escena de conductos en la ciudad gaseosa corpus,corpus_gas_city_conduit_scene
escena de reactor en asentamiento grineer,grineer_settlement_reactor_scene
escena de escombros del planeta helado corpus,corpus_ice_planet_wreckage_scene
lente madurai eidolon,eidolon_madurai_lens
lente vazarin eidolon,eidolon_vazarin_lens
lente unairu eidolon,eidolon_unairu_lens
plano de chasis de zephyr prime,zephyr_prime_chassis_blueprint
escena de la colonia miconita,mycona_colony_scene
elevación de pax,pax_soar
hoja de redeemer prime,redeemer_prime_blade
receptor de akjagara prime,akjagara_prime_receiver
mod agrietado de kitgun (velado),kitgun_riven_mod_(veiled)
sifón espectral,spectrosiphon
cabeza del mazo del lobo,wolf_sledge_head
set de mazo del lobo,wolf_sledge_set
escena de los valles del orbe,orb_vallis_scene
empuñadura de zhuge prime,zhuge_prime_grip
fuerza de congelación,freeze_force
tigre arremolinado,swirling_tiger
mente rápida,quick_thinking
plano de wyrm prime,wyrm_prime_blueprint
hoja con resorte,spring_loaded_blade
desviación cinética,kinetic_diversion
lanzamiento potente,power_throw
verdad fatal,fateful_truth
fuerza maligna,malignant_force
defensas superiores,superior_defenses
inversión de energía,energy_inversion
justicia resquebrajadora,shattering_justice
manos rápidas,fast_hands
cargador polar,polar_magazine
amplificador de rifle,rifle_amp
piezas de repuesto,spare_parts
sin retorno,no_return
vaporizar,vaporize
dispersión cruel,vicious_spread
sensor enemigo,enemy_sense
rabia ciega,blind_rage
mutación de munición de rifle,rifle_ammo_mutation
cañón de imperator vándalo,imperator_vandal_barrel
hoja de orthos prime,orthos_prime_blade
plano de sistemas de loki prime,loki_prime_systems_blueprint
lente naramon,naramon_lens
derivación mutua,coaction_drift
maestro de la escopeta,shotgun_savvy
filo volcánico,volcanic_edge
plano de arnés odonata prime,odonata_prime_harness_blueprint
viento secundario,secondary_wind
plano de sistemas odonata prime,odonata_prime_systems_blueprint
punto de impacto,point_strike
golpe elevado,soaring_strike
aporreo,pummel
culata de velocitus,velocitus_stock
empuñadura de rathbone,rathbone_handle
cabeza de rathbone,rathbone_head
cañón de latron fantasma,latron_wraith_barrel
carga incendiaria,heated_charge
redirección de sistemas,system_reroute
receptor de gorgon fantasma,gorgon_wraith_receiver
disparo calculado,calculated_shot
vigor,vigor
